ukbb_std_name	ukbb_raw_name	outcome	bbs_feature_id	bbs_chemical_name	bbs_pathway	bbs_sub_pathway	unsure	comment
3_hydroxybutyrate	3-Hydroxybutyrate	3-Hydroxybutyrate levels	metab_bohbutyrate	3-Hydroxybutyrate	Ketone bodies	Ketone bodies		
acetate	Acetate	Acetate levels	metab_acetate	Acetate	Ketone bodies	Ketone bodies		
acetoacetate	Acetoacetate	Acetoacetate levels	metab_acetoacetate	Acetoacetate	Ketone bodies	Ketone bodies		
acetone	Acetone	Acetone levels	metab_acetone	Acetone	Ketone bodies	Ketone bodies		
alanine	Alanine	Alanine levels	metab_ala	Alanine	Amino acids	Amino acids		
albumin	Albumin	Albumin levels	metab_albumin	Albumin	Fluid balance	Fluid balance		
apolipoprotein_a1	Apolipoprotein A1	Apolipoprotein A-I levels	metab_apoa1	Apolipoprotein A-I	Apolipoproteins	Apolipoproteins		
apolipoprotein_b	Apolipoprotein B	Apolipoprotein B levels	metab_apob	Apolipoprotein B	Apolipoproteins	Apolipoproteins		
apolipoprotein_b_to_apolipoprotein_a1_ratio	Apolipoprotein B to Apolipoprotein A1 ratio	Ratio of apolipoprotein B to apolipoprotein A1 levels	metab_apobapoa1	Apolipoprotein B/A-I	Apolipoproteins	Apolipoproteins		
average_diameter_for_hdl_particles	Average Diameter for HDL Particles	Mean diameter of HDL particles	metab_hdlsize	Average diameter for HDL particles	Lipoprotein particle sizes	Lipoprotein particle sizes		
average_diameter_for_ldl_particles	Average Diameter for LDL Particles	Mean diameter of LDL particles	metab_ldlsize	Average diameter for LDL particles	Lipoprotein particle sizes	Lipoprotein particle sizes		
average_diameter_for_vldl_particles	Average Diameter for VLDL Particles	Mean diameter of VLDL particles	metab_vldlsize	Average diameter for VLDL particles	Lipoprotein particle sizes	Lipoprotein particle sizes		
cholesterol_in_chylomicrons_and_extremely_large_vldl	Cholesterol in Chylomicrons and Extremely Large VLDL	Total cholesterol levels in chylomicrons and extremely large VLDL	metab_xxlvldlc	Total cholesterol	Lipoprotein subclasses	Extremely large VLDL		
cholesterol_in_idl	Cholesterol in IDL	Total Cholesterol in IDL	metab_idlc	Total cholesterol	Lipoprotein subclasses	IDL		
cholesterol_in_large_hdl	Cholesterol in Large HDL	Total cholesterol in large HDL	metab_lhdlc	Total cholesterol	Lipoprotein subclasses	Large HDL		
cholesterol_in_large_ldl	Cholesterol in Large LDL	Total cholesterol in large LDL	metab_lldlc	Total cholesterol	Lipoprotein subclasses	Large LDL		
cholesterol_in_large_vldl	Cholesterol in Large VLDL	Total Cholesterol in large VLDL	metab_lvldlc	Total cholesterol	Lipoprotein subclasses	Large VLDL		
cholesterol_in_medium_hdl	Cholesterol in Medium HDL	Total cholesterol levels in medium HDL	metab_mhdlc	Total cholesterol	Lipoprotein subclasses	Medium HDL		
cholesterol_in_medium_ldl	Cholesterol in Medium LDL	Total cholesterol in medium LDL	metab_mldlc	Total cholesterol	Lipoprotein subclasses	Medium LDL		
cholesterol_in_medium_vldl	Cholesterol in Medium VLDL	Total cholesterol in medium VLDL	metab_mvldlc	Total cholesterol	Lipoprotein subclasses	Medium VLDL		
cholesterol_in_small_hdl	Cholesterol in Small HDL	Total cholesterol levels in small HDL	metab_shdlc	Total cholesterol	Lipoprotein subclasses	Small HDL		
cholesterol_in_small_ldl	Cholesterol in Small LDL	Total Cholesterol in small LDL	metab_sldlc	Total cholesterol	Lipoprotein subclasses	Small LDL		
cholesterol_in_small_vldl	Cholesterol in Small VLDL	Total cholesterol in small VLDL	metab_svldlc	Total cholesterol	Lipoprotein subclasses	Small VLDL		
cholesterol_in_very_large_hdl	Cholesterol in Very Large HDL	Total cholesterol levels in very large HDL	metab_xlhdlc	Total cholesterol	Lipoprotein subclasses	Very large HDL		
cholesterol_in_very_large_vldl	Cholesterol in Very Large VLDL	Total cholesterol in very large VLDL	metab_xlvldlc	Total cholesterol	Lipoprotein subclasses	Very large VLDL		
cholesterol_in_very_small_vldl	Cholesterol in Very Small VLDL	Total cholesterol in very small VLDL	metab_xsvldlc	Total cholesterol	Lipoprotein subclasses	Very Small VLDL		
cholesterol_to_total_lipids_in_chylomicrons_and_extremely_large_vldl_percentage	Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Total cholesterol to total lipids ratio in chylomicrons and extremely large VLDL	metab_xxlvldlcpct	Ratio	Lipoprotein subclasses ratios	Extremely large VLDL ratios		
cholesterol_to_total_lipids_in_idl_percentage	Cholesterol to Total Lipids in IDL percentage	Total cholesterol to total lipids ratio in IDL	metab_idlcpct	Ratio	Lipoprotein subclasses ratios	IDL ratios		
cholesterol_to_total_lipids_in_large_hdl_percentage	Cholesterol to Total Lipids in Large HDL percentage	Total cholesterol to total lipids ratio in large HDL	metab_lhdlcpct	Ratio	Lipoprotein subclasses ratios	Large HDL ratios		
cholesterol_to_total_lipids_in_large_ldl_percentage	Cholesterol to Total Lipids in Large LDL percentage	Total cholesterol to total lipids ratio in large LDL	metab_lldlcpct	Ratio	Lipoprotein subclasses ratios	Large LDL ratios		
